Date,@fml,@runza,@theatha,@sweathopp,@ailshe,@hevine,@unrest,@railanr,@riftersx,@moomont,@goout,@justlike
13/05/2019,178,3532,299,1346,3156,727,988,768,155,1069,4605,2877
14/05/2019,182,3534,300,1345,3156,728,987,769,157,1071,4610,2889
15/05/2019,186,"3,543",302,"1,345","3,156",730,988,773,160,"1,065","4,612","2,915"
16/05/2019,193,"3,546",302,"1,347","3,155",731,988,770,160,"1,069","4,618","2,963"
17/05/2019,194,"3,549",302,"1,347","3,155",734,985,770,160,"1,069","4,616","2,987"
18/05/2019,198,"3,552",303,"1,347","3,154",735,985,771,161,"1,069","4,624","3,027"
19/05/2019,202,"3,556",303,"1,346","3,151",736,983,772,162,"1,066","4,623","3,058"
20/05/2019,212,"3,560",303,"1,347","3,152",739,987,775,162,"1,073","4,630","3,073"
21/05/2019,217,"3,564",303,"1,347","3,152",741,985,776,162,"1,070","4,637","3,076"
22/05/2019,223,"3,565",303,"1,348","3,153",741,986,777,162,"1,072","4,635","3,075"
23/05/2019,228,"3,572",304,"1,346","3,152",742,986,778,162,"1,076","4,636","3,076"
24/05/2019,237,"3,582",304,"1,347","3,152",742,984,782,162,"1,076","4,637","3,083"
25/05/2019,241,"3,587",303,"1,349","3,153",742,985,783,163,"1,079","4,643","3,083"
26/05/2019,245,"3,590",303,"1,349","3,153",743,983,782,164,"1,080","4,646","3,083"
27/05/2019,251,"3,595",305,"1,348","3,156",744,983,782,164,"1,084","4,649","3,083"
28/05/2019,253,"3,599",305,"1,349","3,155",747,983,784,164,"1,085","4,657","3,088"
29/05/2019,257,"3,604",305,"1,350","3,153",745,984,788,164,"1,087","4,664","3,089"
30/05/2019,260,"3,611",304,"1,349","3,152",746,986,795,164,"1,084","4,672","3,097"
01/06/2019,266,"3,622",305,"1,349","3,151",745,986,794,165,"1,083","4,699","3,107"
02/06/2019,267,"3,631",304,"1,348","3,150",746,985,795,165,"1,153","4,709","3,121"
03/06/2019,268,"3,636",304,"1,348","3,150",748,985,797,165,"1,180","4,715","3,121"
06/06/2019,272,"3,649",303,"1,348","3,150",748,984,802,165,"1,245","4,743","3,130"
08/06/2019,272,"3,655",303,"1,348","3,150",749,985,798,165,"1,273","4,755","3,129"
09/06/2019,274,"3,674",303,"1,349","3,151",749,985,798,165,"1,271","4,760","3,127"
10/06/2019,274,"3,686",306,"1,348","3,150",751,985,799,165,"1,272","4,763","3,128"
11/06/2019,278,"3,690",307,"1,346","3,151",750,984,800,166,"1,271","4,772","3,130"
12/06/2019,280,"3,702",307,"1,345","3,150",751,984,800,166,"1,272","4,778","3,130"
13/06/2019,281,"3,719",305,"1,345","3,150",753,984,803,168,"1,270","4,785","3,130"
14/06/2019,285,"3,725",305,"1,345","3,150",754,984,803,169,"1,263","4,786","3,128"
18/06/2019,286,"3,746",305,"1,347","3,148",764,984,806,171,"1,261","4,809","3,137"
20/06/2019,287,"3,760",305,"1,346","3,145",769,984,807,172,"1,259","4,822","3,135"
21/06/2019,288,"3,766",306,"1,346","3,146",770,984,807,172,"1,258","4,827","3,137"
22/06/2019,289,"3,769",307,"1,346","3,144",769,984,807,172,"1,256","4,834","3,136"
23/06/2019,291,"3,770",307,"1,346","3,142",770,984,808,173,"1,257","4,838","3,139"
25/06/2019,292,"3,774",305,"1,348","3,140",772,983,808,173,"1,258","4,840","3,145"
26/06/2019,291,"3,779",305,"1,350","3,140",773,983,809,178,"1,257","4,840","3,149"
27/06/2019,300,"3,782",305,"1,350","3,140",774,983,811,179,"1,258","4,849","3,151"
28/06/2019,303,"3,784",305,"1,349","3,140",774,983,814,180,"1,259","4,849","3,154"
01/07/2019,309,"3,797",305,"1,349","3,143",779,981,816,181,"1,264","4,857","3,159"
02/07/2019,311,"3,796",306,"1,349","3,142",782,979,815,181,"1,266","4,858","3,161"
03/07/2019,311,"3,798",305,"1,349","3,142",784,980,815,181,"1,270","4,865","3,165"
