Date,@fml,@runza,@theatha,@sweathopp,@ailshe,@hevine,@unrest,@railanr,@riftersx,@moomont,@goout,@justlike
13/05/2019,10,381,299,4073,2752,273,1137,162,92,1033,1109,666
14/05/2019,10,381,76,4071,2752,273,1137,162,92,1034,1109,666
15/05/2019,10,381,76,"4,072","2,752",273,"1,137",162,92,"1,033","1,110",666
16/05/2019,12,381,76,"4,072","2,752",273,"1,137",162,92,"1,034","1,110",666
17/05/2019,12,381,76,"4,071","2,752",273,"1,136",162,92,"1,034","1,110",667
18/05/2019,12,381,76,"4,071","2,752",273,"1,137",163,92,"1,032","1,110",666
19/05/2019,12,381,76,"4,071","2,752",273,"1,137",163,92,"1,039","1,110",666
20/05/2019,12,381,76,"4,067","2,752",274,"1,137",163,92,"1,045","1,110",665
21/05/2019,12,381,76,"4,067","2,751",274,"1,137",163,92,"1,045","1,111",666
22/05/2019,12,381,76,"4,066","2,752",274,"1,137",163,92,"1,046","1,110",666
23/05/2019,12,381,76,"4,069","2,752",279,"1,137",163,92,"1,047","1,110",666
24/05/2019,9,381,76,"4,067","2,752",279,"1,137",163,92,"1,052","1,110",666
25/05/2019,10,381,76,"4,067","2,751",280,"1,136",163,92,"1,055","1,110",666
26/05/2019,10,381,76,"4,067","2,749",281,"1,136",163,92,"1,055","1,109",666
27/05/2019,10,380,76,"4,067","2,749",281,"1,134",163,92,"1,054","1,110",666
28/05/2019,10,380,76,"4,067","2,748",281,"1,134",163,92,"1,054","1,110",666
29/05/2019,10,380,76,"4,065","2,748",280,"1,134",163,92,"1,054","1,110",666
30/05/2019,8,380,76,"4,065","2,748",280,"1,134",163,92,"1,052","1,112",666
01/06/2019,8,380,76,"4,060","2,749",281,"1,134",166,92,"1,054","1,114",666
02/06/2019,8,380,76,"4,059","2,746",281,"1,133",166,92,"1,055","1,115",667
03/06/2019,8,380,76,"4,058","2,746",281,"1,133",166,92,"1,055","1,116",666
06/06/2019,7,380,75,"4,062","2,748",281,"1,135",167,92,"1,059","1,117",666
08/06/2019,7,380,75,"4,063","2,750",282,"1,135",167,92,"1,061","1,121",666
09/06/2019,7,380,75,"4,063","2,750",282,"1,135",167,92,"1,061","1,124",666
10/06/2019,7,380,75,"4,062","2,750",282,"1,135",167,92,"1,062","1,125",666
11/06/2019,7,380,75,"4,064","2,751",282,"1,136",167,92,"1,063","1,126",666
12/06/2019,7,381,75,"4,063","2,751",284,"1,136",167,92,"1,064","1,127",666
13/06/2019,7,381,76,"4,063","2,751",284,"1,136",167,92,"1,064","1,127",666
14/06/2019,7,380,76,"4,062","2,751",284,"1,134",166,92,"1,064","1,127",665
18/06/2019,7,381,76,"4,064","2,751",285,"1,135",166,92,"1,064","1,128",667
20/06/2019,7,380,76,"4,060","2,750",286,"1,135",166,92,"1,062","1,128",668
21/06/2019,7,380,76,"4,060","2,750",286,"1,135",166,92,"1,062","1,128",668
22/06/2019,7,380,76,"4,061","2,750",286,"1,135",166,92,"1,062","1,128",667
23/06/2019,7,380,76,"4,064","2,749",287,"1,135",166,92,"1,062","1,129",667
25/06/2019,7,380,76,"4,065","2,748",287,"1,135",167,92,"1,065","1,129",667
26/06/2019,7,380,76,"4,064","2,748",287,"1,135",167,92,"1,066","1,129",667
27/06/2019,7,381,76,"4,064","2,747",287,"1,135",166,92,"1,064","1,130",667
28/06/2019,7,381,76,"4,065","2,747",287,"1,135",166,92,"1,065","1,130",667
01/07/2019,7,381,76,"4,065","2,747",287,"1,135",164,92,"1,067","1,133",667
02/07/2019,8,381,76,"4,064","2,747",287,"1,135",164,92,"1,067","1,133",668
03/07/2019,8,380,76,"4,064","2,747",287,"1,135",164,92,"1,068","1,133",668
